Total_SqFt,BHK,Bathrooms,Dist_to_School_km,Dist_to_Hospital_km,Dist_to_Railway_km,Parking_Available,Gated_Security,Price_INR,Price_per_SqFt,Total_Distance_Score,Bath_per_BHK,Amenity_Score,Locality_Basavanagudi,Locality_Bommanakatte,Locality_Gadikoppa,Locality_Gopala,Locality_KHB Colony,Locality_Sulebailu,Locality_Vinoba Nagar
1.367597229,4,4,-0.281449493,-0.40681202,-1.182767364,0,0,23883000,0.056094165,-1.097659655,1,0,0,0,0,0,1,0,0
1.255005097,4,4,2.584619469,1.337755092,-1.093933477,0,0,15128000,-1.465294223,0.610026191,1,0,0,0,0,0,0,1,0
1.259437858,4,4,1.124976921,0.869350771,0.406724681,0,0,16625000,-1.185148106,1.015878802,1,0,0,1,0,0,0,0,0
0.922548014,4,4,1.140181531,1.916091038,0.340099266,0,0,13385000,-1.531844031,1.459433567,1,0,0,0,0,0,0,1,0
-1.168828675,2,3,-0.760394704,0.630368975,1.64088118,1,0,6185000,-0.586929967,1.21769622,1.5,1,0,0,0,0,0,0,0
0.154793791,3,3,0.539599441,1.165688198,-1.607900965,1,0,11524000,-1.158348534,-0.425674186,1,1,0,1,0,0,0,0,0
-0.336356139,3,3,0.896907773,1.19914565,0.178294687,0,0,9120000,-1.183623507,0.942692265,1,0,0,1,0,0,0,0,0
1.390647586,4,5,-1.148112255,-0.669691996,-0.370571828,1,1,30038000,1.153332937,-0.904713332,1.25,2,0,0,1,0,0,0,0
0.265612818,4,4,-0.007766515,-0.574099277,1.069806193,0,0,15374000,-0.281674417,0.479177536,1,0,0,0,0,1,0,0,0
-1.370962581,2,2,-0.752792399,-0.072237505,-1.32553611,1,0,5303000,-0.401608851,-1.179717287,1,1,0,0,0,0,0,0,0
-1.050917229,2,2,-1.117703036,-0.684030904,-0.592656545,1,1,10172000,1.235298562,-1.057739726,1,2,0,0,1,0,0,0,0
-0.425011361,3,3,-0.729985484,-1.214570491,-0.833777094,0,0,15711000,1.35531544,-1.359356967,1,0,1,0,0,0,0,0,0
-0.821300204,3,4,-0.501916336,-0.789182894,1.396587991,1,0,9792000,0.179084263,0.463653119,1.333333333,1,0,0,0,0,1,0,0
1.341887214,4,4,-0.912440802,-1.23846867,1.561565209,1,0,30759000,1.360917142,0.250746832,1,1,1,0,0,0,0,0,0
1.057303951,4,4,-0.121801089,-0.14871168,-1.360435137,1,0,19042000,-0.507981371,-1.055521952,1,1,0,0,0,0,0,0,0
-0.541149702,3,3,0.965328517,1.614973975,1.437832296,1,0,7135000,-1.578232679,2.036054762,1,1,0,0,0,0,0,1,0
0.634418542,4,4,0.144279584,-0.492845467,0.054561773,1,0,16623000,-0.508296978,-0.148452457,1,1,0,0,0,0,0,0,0
-1.153757287,2,2,0.919714688,1.19914565,0.723988563,1,0,5150000,-1.256377444,1.330802685,1,1,0,1,0,0,0,0,0
0.465087068,4,4,-0.927645412,-0.74616617,-0.678317793,1,0,21061000,0.813598013,-1.091006334,1,1,0,0,0,0,0,0,1
-0.984425813,2,2,2.751870178,1.390331087,-1.224011668,1,0,5666000,-1.392909435,0.592284001,1,1,0,0,0,0,0,1,0
-0.205146411,3,3,-0.197824138,-0.253863671,-0.900402509,1,1,17166000,1.221361555,-0.80491351,1,2,0,0,1,0,0,0,0
1.434088645,4,5,0.113870364,-0.120033865,-1.078070283,0,0,21313000,-0.486862388,-0.77608245,1.25,0,0,0,0,0,0,0,0
0.750556883,4,4,0.334337208,1.189586378,-0.938474175,1,0,14549000,-1.114582019,-0.006514932,1,1,0,1,0,0,0,0,0
0.56172126,4,4,-1.003668462,-0.655353088,-1.331881388,1,1,23132000,1.127218426,-1.527907778,1,2,0,0,1,0,0,0,0
-1.509264727,1,1,0.098665754,0.161964655,0.121187188,1,0,4338000,-0.535115326,0.188649164,1,1,0,0,0,0,0,0,0
1.187627128,4,4,-0.387881762,-0.363795297,1.368034242,1,1,26843000,0.85718416,0.674341632,1,2,0,0,0,0,0,0,1
-0.280503349,3,4,0.189893414,0.224099922,-1.696734851,0,0,11233000,-0.562002614,-1.026690893,1.333333333,0,0,0,0,0,0,0,0
1.125568472,4,4,1.193397666,2.293682276,-0.900402509,1,0,14423000,-1.494856189,0.78301255,1,1,0,0,0,0,0,1,0
-0.387776168,3,3,1.915616635,1.395110723,0.254438018,0,0,8471000,-1.328125587,1.384029257,1,0,0,1,0,0,0,0,0
-0.2406085,3,3,1.581115217,2.637816062,0.473350097,1,0,8425000,-1.56105501,2.016094798,1,1,0,0,0,0,0,1,0
1.520970763,4,4,1.809184366,1.30429764,0.793786617,1,0,16393000,-1.443287397,1.687864271,1,1,0,0,0,0,0,1,0
1.133547442,4,4,-0.129403394,-0.344676753,-0.437197243,0,1,26122000,0.797909452,-0.50329627,1,1,0,0,0,0,0,0,1
-1.474689191,2,2,-0.114198784,-0.402032384,-0.700526264,1,1,6152000,0.82107948,-0.709549235,1,2,0,0,0,0,0,0,1
-0.182982605,3,3,-0.152210309,-1.152435224,-0.998754313,1,1,16187000,0.848835751,-1.277299335,1,2,0,0,0,0,0,0,1
-1.605012367,1,1,-0.593143995,-0.167830224,-1.252565418,1,0,4079000,-0.250103227,-1.126490715,1,1,0,0,0,0,1,0,0
-0.065957712,3,3,0.091063449,-0.645793816,-1.709425407,1,0,13487000,-0.245079082,-1.468027884,1,1,0,0,0,1,0,0,0
0.357814249,4,5,1.056556177,0.525216985,1.364861603,0,0,12188000,-1.234566395,1.506006817,1.25,0,0,1,0,0,0,0,0
-0.985312365,2,2,-0.714780874,-0.04355969,1.199884385,1,0,8701000,0.186847671,0.610026191,1,1,0,0,0,0,1,0,0
-0.221104351,3,4,-0.874429278,-0.707929083,-0.589483906,1,0,15775000,0.810720759,-0.995642059,1.333333333,1,0,0,0,0,0,0,1
-0.964921664,2,3,1.619126742,2.269784096,-1.24622014,0,0,5311000,-1.618451018,0.654381668,1.5,0,0,0,0,0,0,1,0
-1.178580749,2,2,-0.775599314,-0.263422942,-0.215112526,1,0,6555000,-0.327239625,-0.498860722,1,1,0,0,0,1,0,0,0
0.774493793,4,4,2.257720357,1.041417664,1.466386045,1,0,13009000,-1.478224847,2.166903418,1,1,0,0,0,0,0,1,0
1.546680777,4,5,-0.935247717,-0.086576413,0.498731207,1,1,31465000,1.179251594,0.03562277,1.25,2,0,0,1,0,0,0,0
1.048438429,4,4,-0.653962434,-0.359015661,-0.535549046,0,0,18886000,-0.529211391,-0.731726974,1,0,0,0,0,0,0,0,0
-0.847896771,3,3,-0.091391869,-0.813081073,-1.668181102,1,0,9241000,0.004502457,-1.57004548,1,1,0,0,0,0,1,0,0
-0.183869157,3,3,0.790475504,2.747747689,1.364861603,1,0,8998000,-1.452786109,2.459649563,1,1,0,0,0,0,0,1,0
0.748783779,4,4,-0.076187259,-0.096135685,0.657363148,1,0,18396000,-0.260308131,0.392684356,1,1,0,0,0,1,0,0,0
-0.245927813,3,3,1.391057594,0.639928247,1.101532582,1,0,9751000,-1.115831269,1.47274021,1,1,0,1,0,0,0,0,0
1.492601092,4,4,2.022048904,0.735520965,-1.48734069,0,0,17772000,-1.176294655,-0.108532528,1,0,0,1,0,0,0,0,0
0.60959508,4,4,-1.178521475,-0.201287675,-0.744943208,0,1,23513000,1.124989438,-0.957939904,1,1,0,0,1,0,0,0,0
1.047551877,4,4,-0.714780874,-0.865657069,-0.744943208,0,0,28099000,1.329495052,-1.130926263,1,0,1,0,0,0,0,0,0
-0.746829818,3,3,-0.790803923,-0.478506559,-0.538721685,1,1,12016000,0.934352417,-0.829309022,1,2,0,0,0,0,0,0,1
