Locality,Total_SqFt,BHK,Bathrooms,Dist_to_School_km,Dist_to_Hospital_km,Dist_to_Railway_km,Parking_Available,Gated_Security,Price_INR
KHB Colony,4107,4,4,1.73,2.2,2.72,0,0,23883000.0
Sulebailu,3980,4,4,5.5,5.85,3.0,0,0,15128000.0
Bommanakatte,3985,4,4,3.58,4.87,7.73,0,0,16625000.0
Sulebailu,3605,4,4,3.6,7.06,7.52,0,0,13385000.0
Alkola,1246,2,3,1.1,4.37,11.62,1,0,6185000.0
Bommanakatte,2739,3,3,2.81,5.49,1.38,1,0,11524000.0
Bommanakatte,2185,3,3,3.28,5.56,7.01,0,0,9120000.0
Gadikoppa,4133,4,5,0.59,1.65,5.28,1,1,30038000.0
Gopala,2864,4,4,2.09,1.85,9.82,0,0,15374000.0
Alkola,1018,2,2,1.11,2.9,2.27,1,0,5303000.0
Gadikoppa,1379,2,2,0.63,1.62,4.58,1,1,10172000.0
Basavanagudi,2085,3,3,1.14,0.51,3.82,0,0,15711000.0
KHB Colony,1638,3,4,1.44,1.4,10.85,1,0,9792000.0
Basavanagudi,4078,4,4,0.9,0.46,11.37,1,0,30759000.0
Alkola,3757,4,4,1.94,2.74,2.16,1,0,19042000.0
Sulebailu,1954,3,3,3.37,6.43,10.98,1,0,7135000.0
Alkola,3280,4,4,2.29,2.02,6.62,1,0,16623000.0
Bommanakatte,1263,2,2,3.31,5.56,8.73,1,0,5150000.0
Vinoba Nagar,3089,4,4,0.88,1.49,4.31,1,0,21061000.0
Sulebailu,1454,2,2,5.72,5.96,2.59,1,0,5666000.0
Gadikoppa,2333,3,3,1.84,2.52,3.61,1,1,17166000.0
Alkola,4182,4,5,2.25,2.8,3.05,0,0,21313000.0
Bommanakatte,3411,4,4,2.54,5.54,3.49,1,0,14549000.0
Gadikoppa,3198,4,4,0.78,1.68,2.25,1,1,23132000.0
Alkola,862,1,1,2.23,3.39,6.83,1,0,4338000.0
Vinoba Nagar,3904,4,4,1.59,2.29,10.76,1,1,26843000.0
Alkola,2248,3,4,2.35,3.52,1.1,0,0,11233000.0
Sulebailu,3834,4,4,3.67,7.85,3.61,1,0,14423000.0
Bommanakatte,2127,3,3,4.62,5.97,7.25,0,0,8471000.0
Sulebailu,2293,3,3,4.18,8.57,7.94,1,0,8425000.0
Sulebailu,4280,4,4,4.48,5.78,8.95,1,0,16393000.0
Vinoba Nagar,3843,4,4,1.93,2.33,5.07,0,1,26122000.0
Vinoba Nagar,901,2,2,1.95,2.21,4.24,1,1,6152000.0
Vinoba Nagar,2358,3,3,1.9,0.64,3.3,1,1,16187000.0
KHB Colony,754,1,1,1.32,2.7,2.5,1,0,4079000.0
Gopala,2490,3,3,2.22,1.7,1.06,1,0,13487000.0
Bommanakatte,2968,4,5,3.49,4.15,10.75,0,0,12188000.0
KHB Colony,1453,2,2,1.16,2.96,10.23,1,0,8701000.0
Vinoba Nagar,2315,3,4,0.95,1.57,4.59,1,0,15775000.0
Sulebailu,1476,2,3,4.23,7.8,2.52,0,0,5311000.0
Gopala,1235,2,2,1.08,2.5,5.77,1,0,6555000.0
Sulebailu,3438,4,4,5.07,5.23,11.07,1,0,13009000.0
Gadikoppa,4309,4,5,0.87,2.87,8.02,1,1,31465000.0
Alkola,3747,4,4,1.24,2.3,4.76,0,0,18886000.0
KHB Colony,1608,3,3,1.98,1.35,1.19,1,0,9241000.0
Sulebailu,2357,3,3,3.14,8.8,10.75,1,0,8998000.0
Gopala,3409,4,4,2.0,2.85,8.52,1,0,18396000.0
Bommanakatte,2287,3,3,3.93,4.39,9.92,1,0,9751000.0
Bommanakatte,4248,4,4,4.76,4.59,1.76,0,0,17772000.0
Gadikoppa,3252,4,4,0.55,2.63,4.1,0,1,23513000.0
Basavanagudi,3746,4,4,1.16,1.24,4.1,0,0,28099000.0
Vinoba Nagar,1722,3,3,1.06,2.05,4.75,1,1,12016000.0
Vinoba Nagar,4366,4,4,1.63,0.71,10.93,1,1,30031000.0
Vinoba Nagar,2235,3,4,1.86,0.68,4.51,1,1,15381000.0
Alkola,4177,4,4,1.67,2.73,4.62,1,0,21376000.0
Vinoba Nagar,1662,3,4,1.24,0.62,7.04,1,1,11665000.0
Alkola,3305,4,4,2.03,4.09,10.54,1,0,16524000.0
Vinoba Nagar,3593,4,4,0.72,1.53,3.57,1,1,24628000.0
Sulebailu,1099,2,2,5.72,7.37,4.85,1,0,3504000.0
KHB Colony,690,1,1,1.33,1.87,3.79,1,0,3958000.0
